"","Name","CAS","PEST08","PEST08_C6","Proposed_C6","PEST06","PEST00","PEST07"
"1","(E)-Metominostrobin","","X","","","","",""
"2","(E)-Pyriminobac-methyl","","X","","","","",""
"3","(Z)-Metominostrobin","","X","","","","",""
"4","(Z)-Pyriminobac-methyl","","X","","","","",""
"5","2-Aminobenzimidazole","934-32-7","","","","","",""
"6","2-Phenylphenate","132-27-4","","","","","",""
"7","2-Phenylphenol","90-43-7","X","X","X","X","",""
"8","2,3-Dichloroaniline","608-27-5","","","","","",""
"9","5-Hydroxyimidacloprid","","X","X","","","",""
"10","6-Chloropyridine-3-Carboxylic Acid","5326-23-8","","","","","",""
"11","6-Hydroxypyridine-3-Carboxylic Acid","5006-66-6","","","","","",""
"12","Abamectin","","X","","","","",""
"13","Acephate","30560-19-1","X","X","X","X","X",""
"14","Acetamiprid","","X","","","","",""
"15","Acetamiprid-N-desmethyl","","X","","","","",""
"16","Acetochlor","","X","","","","",""
"17","Acibenzolar acid","","X","","","","",""
"18","Acibenzolar-S-methyl","","X","","","","",""
"19","Acrinathrin","","X","","","","",""
"20","Alachlor","","X","","","","",""
"21","Alanycarb","","X","","","","",""
"22","Aldicarb","","X","","","","",""
"23","Aldicarbsulfoxide","","X","","","","",""
"24","Aldoxycarb","","X","","","","",""
"25","Aldrin","309-00-2 ","X","X","X","","X","X"
"26","Aldrin and dieldrin","","","","","X","",""
"27","Allidochlor","","X","","","","",""
"28","Ametoctradin","","X","","","","",""
"29","Ametryn","","X","","","","",""
"30","Anilofos","","X","","","","",""
"31","Anthraquinone","","X","","","","",""
"32","Atrazine","","X","","","","",""
"33","Azaconazole","","X","","","","",""
"34","Azamethiphos","","X","","","","",""
"35","Azinphos-ethyl","2642-71-9","","","X","","",""
"36","Azinphos-methyl","86-50-0 ","X","X","X","X","X",""
"37","Azoxystrobin","131860-33-8","X","X","X","X","",""
"38","Benalaxyl","71626-11-4","X","X","X","X","X",""
"39","Bendiocarb","","X","","","","",""
"40","Benfluralin","","X","","","","",""
"41","Benodanil","","X","","","","",""
"42","Benoxacor","","X","","","","",""
"43","Bensulfuron-methyl","","X","","","","",""
"44","Bensulide","","X","","","","",""
"45","Benzalkonium chloride","","X","","","","",""
"46","beta-HCH","","X","X","","","",""
"47","Bifenazate","149877-41-8","","","","","",""
"48","Bifenazate Diazine","149878-40-0","","","","","",""
"49","Bifenox","","X","","","","",""
"50","Bifenthrin","82657-04-3","X","X","X","X","",""
"51","Bioresmethrin","28434-01-7","X","X","X","X","",""
"52","Bitertanol","55179-31-2 ","X","X","X","X","",""
"53","Boscalid","188425-85-6 ","X","X","X","X","",""
"54","Bromacil","","X","","","","",""
"55","Bromobutide","","X","","","","",""
"56","Bromophos","","X","","","","",""
"57","Bromophos-ethyl","4824-78-6","X","X","X","","",""
"58","Bromopropylate","","X","","","","",""
"59","Bupirimate","","X","X","","","",""
"60","Buprofezin","69327-76-0","X","X","X","","",""
"61","Buprofezin","69327-76-0","X","X","X","","",""
"62","Butachlor","","X","","","","",""
"63","Butafenacil","","X","","","","",""
"64","Butamifos","","X","","","","",""
"65","Cadusafos","","X","","","","",""
"66","Cafenstrole","","X","","","","",""
"67","Captan","133-06-2 ","X","X","X","X","X",""
"68","Carbaryl","63-25-2 ","X","X","X","X","X",""
"69","Carbendazim","10605-21-7","X","X","X","X","",""
"70","Carbetamide","","X","","","","",""
"71","Carbofuran","","X","","","","",""
"72","Carbophenothion","786-19-6","","","","","",""
"73","Carboxin","","X","","","","",""
"74","Carfentrazone-ethyl","","X","","","","",""
"75","Carpropamid","","X","","","","",""
"76","Chlorantraniliprole"," 500008-45-7","X","","X","","",""
"77","Chlorbufam","","X","","","","",""
"78","Chlordane-cis","5103-71-9","X","X","","","","X"
"79","Chlordane-trans","5103-74-2","X","X","","","","X"
"80","Chlorfenapyr","122453-73-0","X","X","X","","",""
"81","Chlorfenvinphos","470-90-6 ","X","","","X","",""
"82","Chloridazon","","X","","","","",""
"83","Chlorimuron-ethyl","","X","","","","",""
"84","Chlorobenzilate","","X","","","","",""
"85","Chlorothalonil","1897-45-6","X","X","X","X","",""
"86","Chlorotoluron","","X","","","","",""
"87","Chloroxuron","","X","","","","",""
"88","Chlorpropham","","X","","","","",""
"89","Chlorpyrifos","2921-88-2","X","X","X","X","X","X"
"90","Chlorpyrifos methyl","5598-13-0","","","","","",""
"91","Chlorpyrifos-methyl","","X","X","X","X","",""
"92","Chlorsulfuron","","X","","","","",""
"93","Chlorthal-dimethyl","1861-32-1","X","X","X","X","",""
"94","Chlorthiophos","","X","","","","",""
"95","Chlozolinate","","X","","","","",""
"96","Chromafenozide","","X","","","","",""
"97","Cinidon-ethyl","","X","","","","",""
"98","cis-Mevinphos","","","","","","X",""
"99","Clethodim","","X","","","","",""
"100","Clodinafop-propargyl","","X","","","","",""
"101","Clofentezine","74115-24-5","X","X","X","","",""
"102","Clomazone","","X","","","","",""
"103","Cloquintocet-mexyl","","X","","","","",""
"104","Clothianidin","","X","","","","",""
"105","Coumaphos","56-72-4","X","","","","",""
"106","Coumaphosoxon","","X","","","","",""
"107","Cyanazine","","X","","","","",""
"108","Cyanophos","","X","","","","",""
"109","Cyazofamid","","X","","","","",""
"110","Cyclanilide","","X","","","","",""
"111","Cycloate","","X","","","","",""
"112","Cyclosulfamuron","","X","","","","",""
"113","Cyflufenamid","","X","","","","",""
"114","Cyfluthrin","68359-37-5","X","X","X","X","",""
"115","Cyfluthrin-beta","","","","X","","",""
"116","Cyhalofop-butyl","","X","","","","",""
"117","Cyhalothrin","","X","X","X","X","",""
"118","Cyhalothrin-lambda","","","","X","","",""
"119","Cymoxanil","","X","","","","",""
"120","Cypermethrin","52315-07-8","X","X","X","X","",""
"121","Cypermethrin-alpha","","","","X","","",""
"122","Cyproconazole","94361-06-5","X","X","X","X","",""
"123","Cyprodinil","121552-61-2","X","X","X","X","",""
"124","Cyromazine","","X","","","","",""
"125","Daimuron","","X","","","","",""
"126","DDD (o,p)","53-19-0","","","","","",""
"127","DDD (p,p)","72-54-8","","","X","","","X"
"128","DDE (o,p)","3424-82-6","","","","","",""
"129","DDE (p,p)","72-55-9","","","X","","","X"
"130","DDT","","","","","X","",""
"131","DDT (o,p)","789-02-6","","","","","",""
"132","DDT (p,p)","50-29-3","","","X","","","X"
"133","delta-HCH","","X","X","","","",""
"134","Deltamethrin","52918-63-5","X","X","X","X","X",""
"135","Demeton S","126-75-0","","","","","",""
"136","Demeton-S Methyl Sulfone","17040-19-6","","","","","",""
"137","Demeton-s-methyl","919-86-8","X","X","X","","",""
"138","Demeton-S-Methyl Sulfoxide","301-12-2 ","","","","","",""
"139","Demeton-s-methylsulfoxide","","X","","","","",""
"140","Desmedipham","","X","","","","",""
"141","Diallate","","X","","","","",""
"142","Diazinon","333-41-5","X","X","X","X","",""
"143","Diazinone","","","","","","X",""
"144","Dichlobenil","","X","","","","",""
"145","Dichlofenthion","","X","","","","",""
"146","Dichlofluanid","","X","X","","","",""
"147","Dichloran","99-30-9","","","","","",""
"148","Dichlorvos","62-73-7","X","X","X","X","X","X"
"149","Diclobutrazol","","X","","","","",""
"150","Diclocymet","","X","","","","",""
"151","Diclofop-methyl","","X","","","","",""
"152","Dicloran","","X","X","X","X","",""
"153","Diclosulam","","X","","","","",""
"154","Dicofol","115-32-2","X","X","X","X","X",""
"155","Dicrotophos","","X","","","","",""
"156","Dicyclanil","","X","","","","",""
"157","Didecyldimethylammonium chloride","","X","","","","",""
"158","Dieldrin","60-57-1","X","X","X","","X","X"
"159","Diethofencarb","","X","","","","",""
"160","Difenoconazole","119446-68-3 ","X","X","X","X","X",""
"161","Diflubenzuron","","X","","","","",""
"162","Diflufenican","","X","","","","",""
"163","Dimepiperate","","X","","","","",""
"164","Dimethenamid","","X","","","","",""
"165","Dimethoate","60-51-5","X","X","X","X","X",""
"166","Dimethomorph","110488-70-5","X","X","X","X","",""
"167","Dimethylvinphos","","X","","","","",""
"168","Dioxabenzofos","","X","","","","",""
"169","Dioxathion","78-34-2","X","","","","",""
"170","Diphenamid","","X","","","","",""
"171","Diphenylamine","122-39-4","X","X","X","X","",""
"172","Disulfoton","298-04-4","X","","","X","X",""
"173","Disulfoton sulfone","""2497-06-5""","","","","","",""
"174","Disulfoton sulfoxide","""2497-07-6""","","","","","",""
"175","Dithiopyr","","X","","","","",""
"176","Diuron","330-54-1","X","X","X","X","",""
"177","Dodine","","X","","","","",""
"178","Edifenphos","","X","","","","",""
"179","Emamectinbenzoate","","X","","","","",""
"180","Endosulphan","","","","","X","X",""
"181","Endosulphan sulphate","1031-07-8","X","X","X","","X","X"
"182","Endosulphan Total","","","","X","","",""
"183","Endosulphan-alpha","959-98-8","X","X","X","","X","X"
"184","Endosulphan-beta","33213-65-9","X","X","X","","X","X"
"185","Endrin","72-20-8","X","X","X","X","X","X"
"186","Endrin ketone","","X","X","","","",""
"187","EPN","","X","","","","",""
"188","Epoxiconazole","","X","","","","",""
"189","EPTC","","X","","","","",""
"190","Esfenvalerate","66230-04-4","","","X","","",""
"191","Esprocarb","","X","","","","",""
"192","Ethalfluralin","","X","","","","",""
"193","Ethametsulfuron-methyl","","X","","","","",""
"194","Ethiofencarb","","X","","","","",""
"195","Ethion","563-12-2","X","","","","",""
"196","Ethiprole","","X","","","","",""
"197","Ethofumesate","","X","","","","",""
"198","Ethoprophos","13194-48-4","X","","","X","X",""
"199","Ethoxyquin","","X","","","","",""
"200","Ethoxysulfuron","","X","","","","",""
"201","Ethychlozate","","X","","","","",""
"202","Etobenzanid","","X","","","","",""
"203","Etoxazole","","X","X","","","",""
"204","Etridiazole","","X","","","","",""
"205","Etrimfos","","X","","","","",""
"206","Famoxadone","","X","","","","",""
"207","Famphur","","X","","","","",""
"208","Fenamidone","","X","","","","",""
"209","Fenamiphos","22224-92-6","X","X","X","X","X",""
"210","Fenamiphos Sulfone","31972-44-8","","","","","",""
"211","Fenamiphos Sulfoxide","31972-43-7","","","","","",""
"212","Fenarimol","60168-88-9","X","X","X","X","X",""
"213","Fenbuconazole","","X","","","","",""
"214","Fenchlorphos","299 - 84 - 3","X","","","","","X"
"215","Fenhexamid","126833-17-8","X","X","X","X","",""
