Name,FSANZ_Milk,PEST00,PEST06,PEST07,PEST08,PEST08_C6
(E)-Metominostrobin,,,,,X,
(E)-Pyriminobac-methyl,,,,,X,
(Z)-Metominostrobin,,,,,X,
(Z)-Pyriminobac-methyl,,,,,X,
2-Phenylphenol,,,X,,X,X
"2,2-DPA",X,,,,,
"2,4-D",X,,,,,
"2,4-DB",X,,,,,
5-Hydroxyimidacloprid,,,,,X,X
Abamectin,,,,,X,
Acephate,,X,X,,X,X
Acetamiprid,X,,,,X,
Acetamiprid-N-desmethyl,,,,,X,
Acetochlor,,,,,X,
Acibenzolar acid,,,,,X,
Acibenzolar-S-methyl,X,,,,X,
Acifluorfen,X,,,,,
Acrinathrin,,,,,X,
Alachlor,,,,,X,
Alanycarb,,,,,X,
Aldicarb,X,,,,X,
Aldicarbsulfoxide,,,,,X,
Aldoxycarb,X,,,,X,
Aldrin,,X,,X,X,X
Aldrin and dieldrin,,,X,,,
Allidochlor,,,,,X,
Ametoctradin,X,,,,X,
Ametryn,X,,,,X,
Aminopyralid,X,,,,,
Amisulbrom,X,,,,,
Amitraz,X,,,,,
Amitrol,X,,,,,
Anilofos,,,,,X,
Anthraquinone,,,,,X,
Asulam,X,,,,,
Atrazine,X,,,,X,
Azaconazole,,,,,X,
Azamethiphos,X,,,,X,
Azimsulfuron,X,,,,,
Azinphos-methyl,X,X,X,,X,X
Azoxystrobin,X,,X,,X,X
Bacitracin,X,,,,,
Benalaxyl,,X,X,,X,X
Bendiocarb,X,,,,X,
Benfluralin,,,,,X,
Benodanil,,,,,X,
Benoxacor,,,,,X,
Bensulfuron-methyl,,,,,X,
Bensulide,,,,,X,
Bentazone,X,,,,,
Benzalkonium chloride,,,,,X,
Benzyl G penicillin,X,,,,,
Bicyclopyrone,X,,,,,
Bifenazate,X,,,,,
Bifenox,,,,,X,
Bifenthrin,X,,X,,X,X
Bioresmethrin,,,X,,X,X
Bitertanol,X,,X,,X,X
Bixafen,X,,,,,
Boscalid,X,,X,,X,X
Bromacil,X,,,,X,
Bromobutide,,,,,X,
Bromophos,,,,,X,
Bromophos-ethyl,,,,,X,X
Bromopropylate,,,,,X,
Bromoxynil,X,,,,,
Bupirimate,,,,,X,X
Buprofezin,X,,,,X,X
Butachlor,,,,,X,
Butafenacil,X,,,,X,
Butamifos,,,,,X,
Butroxydim,X,,,,,
Cadusafos,,,,,X,
Cafenstrole,,,,,X,
Captan,X,X,X,,X,X
Carbaryl,X,X,X,,X,X
Carbendazim,X,,X,,X,X
Carbetamide,,,,,X,
Carbofuran,X,,,,X,
Carboxin,,,,,X,
Carfentrazone-ethyl,X,,,,X,
Carpropamid,,,,,X,
Chlorantraniliprole,X,,,,X,
Chlorbufam,,,,,X,
Chlordane-cis,,,,X,X,X
Chlordane-trans,,,,X,X,X
Chlorfenapyr,X,,,,X,X
Chlorfenvinphos,,,X,,X,
Chlorhexidine,X,,,,,
Chloridazon,,,,,X,
Chlorimuron-ethyl,,,,,X,
Chlormequat,X,,,,,
Chlorobenzilate,,,,,X,
Chlorothalonil,X,,X,,X,X
Chlorotoluron,,,,,X,
Chloroxuron,,,,,X,
Chlorpropham,,,,,X,
Chlorpyrifos,X,X,X,X,X,X
Chlorpyrifos-methyl,X,,X,,X,X
Chlorsulfuron,X,,,,X,
Chlorthal-dimethyl,X,,X,,X,X
Chlorthiophos,,,,,X,
Chlozolinate,,,,,X,
Chromafenozide,,,,,X,
Cinidon-ethyl,,,,,X,
cis-Mevinphos,,X,,,,
Clethodim,,,,,X,
Clodinafop acid,X,,,,,
Clodinafop-propargyl,X,,,,X,
Clofentezine,X,,,,X,X
Clomazone,X,,,,X,
Clopyralid,X,,,,,
Cloquintocet-mexyl,X,,,,X,
Clothianidin,X,,,,X,
Coumaphos,,,,,X,
Coumaphosoxon,,,,,X,
Cyanazine,,,,,X,
Cyanophos,,,,,X,
Cyantraniliprole,X,,,,,
Cyazofamid,X,,,,X,
Cyclanilide,X,,,,X,
Cycloate,,,,,X,
Cyclosulfamuron,,,,,X,
Cyflufenamid,X,,,,X,
Cyfluthrin,X,,X,,X,X
Cyhalofop-butyl,X,,,,X,
Cyhalothrin,X,,X,,X,X
Cymoxanil,,,,,X,
Cypermethrin,X,,X,,X,X
Cyproconazole,X,,X,,X,X
Cyprodinil,X,,X,,X,X
Cyromazine,X,,,,X,
Daimuron,,,,,X,
"DDD (o,p)",,X,,,X,X
"DDD (p,p)",,X,,X,X,X
"DDE (o,p)",,X,,,X,X
"DDE (p,p)",,X,,X,X,X
DDT,,,X,,,
"DDT (o,p)",,X,,,X,X
"DDT (p,p)",,X,,X,X,X
Deltamethrin,X,X,X,,X,X
Demeton-s-methyl,,,,,X,X
Demeton-s-methylsulfoxide,,,,,X,
Desmedipham,,,,,X,
Diafenthiuron,X,,,,,
Diallate,,,,,X,
Diazinon,X,,X,,X,X
Diazinone,,X,,,,
Dicamba,X,,,,,
Dichlobenil,,,,,X,
Dichlofenthion,,,,,X,
Dichlofluanid,,,,,X,X
Dichlorprop-P,X,,,,,
Dichlorvos,X,X,X,X,X,X
Diclobutrazol,,,,,X,
Diclocymet,,,,,X,
Diclofop-methyl,X,,,,X,
Dicloran,,,X,,X,X
Diclosulam,,,,,X,
Dicofol,,X,X,,X,X
Dicrotophos,,,,,X,
Dicyclanil,,,,,X,
Didecyldimethylammonium chloride,,,,,X,
Dieldrin,,X,,X,X,X
Diethofencarb,,,,,X,
Difenoconazole,X,X,X,,X,X
Diflubenzuron,,,,,X,
Diflufenican,X,,,,X,
Dimepiperate,,,,,X,
Dimethenamid,,,,,X,
Dimethenamid-P,X,,,,,
Dimethipin,X,,,,,
Dimethoate,X,X,X,,X,X
Dimethomorph,X,,X,,X,X
Dimethylvinphos,,,,,X,
Dinotefuran,X,,,,,
Dioxabenzofos,,,,,X,
Dioxathion,,,,,X,
Diphenamid,,,,,X,
Diphenylamine,X,,X,,X,X
Diquat,X,,,,,
Disulfoton,,X,X,,X,
Dithiocarbamates,X,,,,,
Dithiopyr,,,,,X,
Diuron,X,,X,,X,X
Dodine,,,,,X,
Edifenphos,,,,,X,
Emamectin,X,,,,,
Emamectinbenzoate,,,,,X,
Endosulphan,,X,X,,,
Endosulphan sulphate,,X,,X,X,X
Endosulphan-alpha,,X,,X,X,X
Endosulphan-beta,,X,,X,X,X
Endrin,,X,X,X,X,X
Endrin ketone,,,,,X,X
EPN,,,,,X,
Epoxiconazole,X,,,,X,
EPTC,X,,,,X,
Erythromycin,X,,,,,
Esprocarb,,,,,X,
Ethalfluralin,,,,,X,
Ethametsulfuron-methyl,,,,,X,
Ethephon,X,,,,,
Ethiofencarb,,,,,X,
Ethion,X,,,,X,
