Name,Indonesia,PEST06,PEST08,PEST08_C6,Vietnam,Vietnam_(sub)
(E)-Metominostrobin,,,X,,,
(E)-Pyriminobac-methyl,,,X,,,
(Z)-Metominostrobin,,,X,,,
(Z)-Pyriminobac-methyl,,,X,,,
2-Phenylphenol,X,X,X,X,,
"2,4-D",X,,,,,X
"2,4-DDT",X,,,,,
5-Hydroxyimidacloprid,,,X,X,,
Abamectin,X,,X,,,X
Acephate,X,X,X,X,,
Acetamiprid,,,X,,,
Acetamiprid-N-desmethyl,,,X,,,
Acetochlor,,,X,,,
Acibenzolar acid,,,X,,,
Acibenzolar-S-methyl,,,X,,,
Acrinathrin,,,X,,,
Alachlor,,,X,,,
Alanycarb,,,X,,,
Aldicarb,X,,X,,,X
Aldicarbsulfoxide,,,X,,,
Aldoxycarb,,,X,,,
Aldrin,X,,X,X,X,
Aldrin and dieldrin,,X,,,,
Allethrin,X,,,,,
Allidochlor,,,X,,,
Ametoctradin,,,X,,,
Ametryn,,,X,,,
Aminopyralid,X,,,,,
Amitraz,X,,,,,
Amitrol,X,,,,,
Anilofos,,,X,,,
Anthraquinone,,,X,,,
Atrazine,,,X,,,
Azaconazole,,,X,,,
Azamethiphos,,,X,,,
Azinphos-methyl,X,X,X,X,,
Azocyclotin,X,,,,,
Azoxystrobin,,X,X,X,,
Benalaxyl,X,X,X,X,,
Bendiocarb,,,X,,,
Benfluralin,,,X,,,
Benodanil,,,X,,,
Benoxacor,,,X,,,
Bensulfuron-methyl,,,X,,,
Bensulide,,,X,,,
Benzalkonium chloride,,,X,,,
BHC,,X,,,,
Bifenox,,,X,,,
Bifenthrin,X,X,X,X,,
Bioresmethrin,X,X,X,X,,
Bitertanol,X,X,X,X,X,
Boscalid,X,X,X,X,,X
Bromacil,,,X,,,
Bromobutide,,,X,,,
Bromophos,,,X,,,
Bromophos-ethyl,,,X,X,X,
Bromopropylate,X,,X,,,
Bupirimate,,,X,X,,
Buprofezin,X,,X,X,,
Butachlor,,,X,,,
Butafenacil,,,X,,,
Butamifos,,,X,,,
Cadusafos,X,,X,,,
Cafenstrole,,,X,,,
Captan,,X,X,X,,
Carbaryl,X,X,X,X,,
Carbendazim,X,X,X,X,,X
Carbetamide,,,X,,,
Carbofuran,X,,X,,X,X
Carboxin,,,X,,,
Carfentrazone-ethyl,,,X,,,
Carpropamid,,,X,,,
Chlorantraniliprole,,,X,,,
Chlorbufam,,,X,,,
Chlordane,,,,,,X
Chlordane technical mixture,X,,,,,
Chlordane-cis,X,,X,X,,
Chlordane-trans,X,,,,,
Chlorfenapyr,,,X,X,,
Chlorfenvinphos,,X,X,,,
Chloridazon,,,X,,,
Chlorimuron-ethyl,,,X,,,
Chlormequat,X,,,,,
Chlorobenzilate,,,X,,,
Chlorothalonil,X,X,X,X,,X
Chlorotoluron,,,X,,,
Chloroxuron,,,X,,,
Chlorpropham,X,,X,,,X
Chlorpyrifos,,X,X,X,X,X
Chlorpyrifos-methyl,,X,X,X,,
Chlorsulfuron,,,X,,,
Chlorthal-dimethyl,,X,X,X,,
Chlorthiophos,,,X,,,
Chlozolinate,,,X,,,
Chromafenozide,,,X,,,
Cinidon-ethyl,,,X,,,
Clethodim,X,,X,,,
Clodinafop-propargyl,,,X,,,
Clofentezine,X,,X,X,,
Clomazone,,,X,,,
Cloquintocet-mexyl,,,X,,,
Clothianidin,,,X,,,X
Coumaphos,,,X,,X,
Coumaphosoxon,,,X,,,
Cyanazine,,,X,,,
Cyanophos,,,X,,,
Cyazofamid,,,X,,,
Cyclanilide,,,X,,,
Cycloate,,,X,,,
Cyclosulfamuron,,,X,,,
Cycloxydim,X,,,,,
Cyflufenamid,,,X,,,
Cyfluthrin,X,X,X,X,,
Cyhalofop-butyl,,,X,,,
Cyhalothrin,X,X,X,X,,
Cyhexatin,X,,,,,
Cymoxanil,,,X,,,
Cypermethrin,X,X,X,X,,X
Cyproconazole,,X,X,X,,
Cyprodinil,,X,X,X,,
Cyromazine,X,,X,,,
Daimuron,,,X,,,
"DDD (o,p)",,,X,X,X,
"DDD (p,p)",,,X,X,,
"DDE (o,p)",,,X,X,X,
"DDE (p,p)",,,X,X,X,
DDT,,X,,,,
"DDT (o,p)",,,X,X,,
"DDT (p,p)",,,X,X,,
Deltamethrin,X,X,X,X,,
Demeton-s-methyl,,,X,X,,
Demeton-S-methylsulfoxide,,,X,,,
Desmedipham,,,X,,,
Diallate,,,X,,,
Diazinon,X,X,X,X,X,
Dichlobenil,,,X,,,
Dichlofenthion,,,X,,,
Dichlofluanid,X,,X,X,,
Dichloran,X,,,,,
Dichlorvos,X,X,X,X,,
Diclobutrazol,,,X,,,
Diclocymet,,,X,,,
Diclofop-methyl,,,X,,,
Dicloran,,X,X,X,,
Diclosulam,,,X,,,
Dicofol,X,X,X,X,X,
Dicrotophos,,,X,,,
Dicyclanil,,,X,,,
Didecyldimethylammonium chloride,,,X,,,
Dieldrin,X,,X,X,X,
Diethofencarb,,,X,,,
Difenoconazole,X,X,X,X,,
Diflubenzuron,X,,X,,,
Diflufenican,,,X,,,
Dimepiperate,,,X,,,
Dimethenamid,,,X,,,
Dimethoate,X,X,X,X,,
Dimethomorph,X,X,X,X,,
Dimethylvinphos,,,X,,,
Dinocap,X,,,,,
Dioxabenzofos,,,X,,,
Dioxathion,,,X,,,
Diphenamid,,,X,,,
Diphenylamine,X,X,X,X,,
Diquat dibromide monohydrate,X,,,,,
Disulfoton,X,X,X,,,X
Dithianon,X,,,,,
Dithiocarbamates,,,,,,X
Dithiopyr,,,X,,,
Diuron,,X,X,X,,
Dodine,X,,X,,,
Edifenphos,,,X,,,
Emamectinbenzoate,,,X,,,
Endosulfan,X,X,,,,X
Endosulphan sulphate,,,X,X,,
Endosulphan-alpha,X,,X,X,X,
Endosulphan-beta,X,,X,X,X,
Endrin,X,X,X,X,X,
Endrin ketone,,,X,X,,
EPN,,,X,,,
Epoxiconazole,,,X,,,
EPTC,,,X,,,
Esprocarb,,,X,,,
Ethalfluralin,,,X,,,
Ethametsulfuron-methyl,,,X,,,
Ethephon,X,,,,,
Ethiofencarb,,,X,,,
Ethion,,,X,,,
Ethiprole,,,X,,,
Ethofumesate,,,X,,,
Ethoprophos,,X,X,,,
Ethoxyquin,X,,X,,X,
Ethoxysulfuron,,,X,,,
Ethychlozate,,,X,,,
Etobenzanid,,,X,,,
Etofenprox,X,,,,,X
Etoxazole,,,X,X,X,
Etridiazole,,,X,,,
Etrimfos,,,X,,,
Famoxadone,,,X,,,
Famphur,,,X,,,
Fenamidone,,,X,,,
Fenamiphos,X,X,X,X,,
Fenarimol,X,X,X,X,,
Fenbuconazole,X,,X,,,
Fenbutatin Oxide,X,,,,,
