Name,AAA_C3,AAA_C6,Agrifood (Coles) C6,ALS_C6,Coles,FreshTest_C6,NMI (2017),PEST06,PEST08,PEST08_C6
(E)-Metominostrobin,,,,,,,,,X,
(E)-Pyriminobac-methyl,,,,,,,,,X,
(Z)-Metominostrobin,,,,,,,,,X,
(Z)-Pyriminobac-methyl,,,,,,,,,X,
2-Phenylphenol,X,X,X,X,X,X,X,X,X,X
"2,4-D",,,,,X,,,,,
5-Hydroxyimidacloprid,,,,,,,,,X,X
Abamectin,,,,X,X,,,,X,
Acephate,X,X,X,X,X,X,X,X,X,X
Acetamiprid,,,,,,,X,,X,
Acetamiprid-N-desmethyl,,,,,,,,,X,
Acetochlor,,,,,,,,,X,
Acibenzolar-S-methyl,,,,,,,,,X,
Acibenzolar acid,,,,,,,,,X,
Acifluorfen,,,,,X,,,,,
Acrinathrin,,,,,,,,,X,
Alachlor,,,,,,,,,X,
Alanycarb,,,,,,,,,X,
Aldicarb,,X,,,X,,,,X,
Aldicarb (sulphone & sulphoxide),,,,,,,X,,,
Aldicarbsulfoxide,,,,,,,,,X,
Aldoxycarb,,,,,,,,,X,
Aldrin,X,X,X,X,X,X,X,,X,X
Aldrin and dieldrin,,,,,,,,X,,
Allidochlor,,,,,,,,,X,
Ametoctradin,,,,,,,,,X,
Ametryn,,,,,,,,,X,
Aminobenzimidazole-2,,X,,,,,,,,
AMPA,,,,,X,,,,,
Anilofos,,,,,,,,,X,
Anthraquinone,,,,,,,,,X,
Atrazine,,,,,X,,X,,X,
Azaconazole,,,,,,,,,X,
Azamethiphos,,,,,,,,,X,
Azinphos-ethyl,,,X,X,X,,X,,,
Azinphos-methyl,X,X,X,X,X,X,X,X,X,X
Azoxystrobin,,X,,X,X,X,X,X,X,X
Benalaxyl,X,X,X,X,X,X,X,X,X,X
Bendiocarb,,,,,X,,,,X,
Benfluralin,,,,,,,,,X,
Benodanil,,,,,,,,,X,
Benomyl,,,,,,X,X,,,
Benoxacor,,,,,,,,,X,
Bensulfuron-methyl,,,,,,,,,X,
Bensulide,,,,,,,,,X,
Benzalkonium chloride,,,,,,,,,X,
Benzyladenine,,,,,,,X,,,
Bifenazate,,,,,,X,,,,
Bifenazate diazene,,,,,,X,,,,
Bifenox,,,,,,,,,X,
Bifenthrin,X,X,X,X,X,X,X,X,X,X
Bioresmethrin,X,X,X,X,X,X,X,X,X,X
Bitertanol,X,X,X,X,X,X,X,X,X,X
Boscalid,,X,,X,X,X,X,X,X,X
Bromacil,,,,,,,X,,X,
Bromobutide,,,,,,,,,X,
Bromophos,,,,,,,,,X,
Bromophos-ethyl,,,X,X,X,,X,,X,X
Bromopropylate,,,,,,,,,X,
Bupirimate,,,X,X,X,,,,X,X
Buprofezin,X,X,X,X,X,X,X,,X,X
Butachlor,,,,,,,,,X,
Butafenacil,,,,,,,,,X,
Butamifos,,,,,,,,,X,
Cadusafos,,,,,X,,,,X,
Cafenstrole,,,,,,,,,X,
Captan,X,X,X,X,X,X,X,X,X,X
Carbaryl,X,X,X,X,X,X,X,X,X,X
Carbendazim,,X,,X,,X,X,X,X,X
Carbendazim / Benomyl,,,,,X,,,,,
Carbetamide,,,,,,,,,X,
Carbofuran,,,,,X,,,,X,
Carbophenothion,,,,,,,X,,,
Carboxin,,,,,,,,,X,
Carfentrazone-ethyl,,,,,,,X,,X,
Carpropamid,,,,,,,,,X,
Chlorantraniliprole,,X,,X,X,X,X,,X,
Chlorbufam,,,,,,,,,X,
Chlordane,,,X,X,X,,X,,,
Chlordane-cis,,,,,,,,,X,X
Chlordane-trans,,,,,,,,,X,X
Chlorfenapyr,X,X,X,X,X,X,X,,X,X
Chlorfenvinphos,,,,,,,X,X,X,
Chloridazon,,,,,,,,,X,
Chlorimuron-ethyl,,,,,,,,,X,
Chlorobenzilate,,,,,,,,,X,
Chloropicrin,,,,,X,,,,,
Chlorothalonil,X,X,X,,X,X,X,X,X,X
Chlorotoluron,,,,,,,,,X,
Chloroxuron,,,,,,,,,X,
Chlorpropham,,,,,,,,,X,
Chlorpyrifos,X,X,X,X,X,X,X,X,X,X
Chlorpyrifos-methyl,X,X,X,X,X,X,X,X,X,X
Chlorsulfuron,,,,,,,,,X,
Chlorthal-dimethyl,X,X,X,X,X,X,X,X,X,X
Chlorthiophos,,,,,,,,,X,
Chlozolinate,,,,,,,,,X,
Chromafenozide,,,,,,,,,X,
Cinidon-ethyl,,,,,,,,,X,
Clethodim,,,,,,,,,X,
Clodinafop-propargyl,,,,,,,,,X,
Clofentezine,X,X,X,X,X,X,X,,X,X
Clomazone,,,,,,,,,X,
Cloquintocet-mexyl,,,,,,,,,X,
Clothianidin,,,,,X,,X,,X,
Coumaphos,,,,,,,X,,X,
Coumaphosoxon,,,,,,,,,X,
Cyanazine,,,,,X,,,,X,
Cyanophos,,,,,,,,,X,
Cyazofamid,,,,,,,,,X,
Cyclanilide,,,,,,,,,X,
Cycloate,,,,,,,,,X,
Cyclosulfamuron,,,,,,,,,X,
Cyflufenamid,,,,,,,,,X,
Cyfluthrin,X,X,X,X,X,X,X,X,X,X
Cyfluthrin-beta,X,X,X,X,X,X,X,,,
Cyhalofop-butyl,,,,,,,,,X,
Cyhalothrin,X,X,X,X,X,X,X,X,X,X
Cyhalothrin-lambda,X,X,X,,X,X,X,,,
Cymoxanil,,,,,,,,,X,
Cypermethrin,X,X,X,X,X,X,X,X,X,X
Cypermethrin-alpha,X,X,X,X,X,X,X,,,
Cypermethrin-zeta,,,,,X,,,,,
Cyproconazole,X,X,X,X,X,X,X,X,X,X
Cyprodinil,X,X,X,X,X,X,X,X,X,X
Cyromazine,,,,,,,,,X,
Daimuron,,,,,,,,,X,
Dazomet,,,,,X,,,,,
"DDD (o,p)",X,X,,,,,X,,X,X
"DDD (p,p)",X,X,X,X,X,X,X,,X,X
"DDE (o,p)",X,X,,,,,X,,X,X
"DDE (p,p)",X,X,X,X,X,X,X,,X,X
DDT,X,X,,,,,,X,,
DDT - Total,,,X,,X,,X,,,
"DDT (o,p)",X,X,,X,,,X,,X,X
"DDT (p,p)",X,X,X,X,X,X,X,,X,X
Deltamethrin,X,X,X,X,X,X,X,X,X,X
Demeton-s-methyl,,,X,X,X,,X,,X,X
Demeton-s-methylsulfoxide,,,,,,,,,X,
Desmedipham,,,,,,,,,X,
Diallate,,,,,,,,,X,
Diazinon,X,X,X,X,X,X,X,X,X,X
Dichlobenil,,,,,,,,,X,
Dichlofenthion,,,,,,,,,X,
Dichlofluanid,,,X,X,X,,,,X,X
Dichlorprop,,,,,X,,,,,
Dichlorvos,X,X,X,X,X,X,X,X,X,X
Diclobutrazol,,,,,,,,,X,
Diclocymet,,,,,,,,,X,
