Name,Coles
2 4 D,X
Abamectin,X
Acephate,X
Acifluorofen,X
Aldicarb,X
Aldrin,X
alpha Cypermethrin,X
alpha Endosulphan,X
AMPA,X
Atrazine,X
Azinphos ethyl,X
Azinphos methyl,X
Azoxystrobin,X
Benalaxyl,X
Bendiocarb,X
beta Cyfluthrin,X
beta Endosulphan,X
Bifenthrin,X
Bioresmethrin,X
Bitertanol,X
Boscalid,X
Bromophos ethyl,X
Buprimate,X
Buprofezin,X
Cadusafos,X
Captan,X
Carbaryl,X
Carbendazim / Benomyl,X
Carbofuran,X
Chlorantraniliprole,X
Chlordane,X
Chlorfenapyr,X
Chloropicrin,X
Chlorothalonil,X
Chlorpyrifos,X
Chlorpyrifos methyl,X
Chlorthal dimethyl,X
Clofentezine,X
Clothiandin,X
Cyanazine,X
Cyfluthrin,X
Cyhalothrin,X
Cypermethrin,X
Cyproconazole,X
Cyprodinil,X
Dazomet,X
DDD - pp,X
DDE - pp,X
DDT - pp,X
DDT - Total,X
Deltamethrin,X
Demeton-s-methyl,X
Diazinon,X
Dichlofluanid,X
Dichlorprop,X
Dichlorvos,X
Diclofop-methyl,X
Dicloran,X
Dicofol,X
Dieldrin,X
Difenoconazole,X
Dimethamid,X
Dimethoate,X
Dimethomorph,X
Diphenylamine,X
Diquat,X
Disulfuton,X
Dithianon,X
Dithiocarbamates,X
Diuron,X
Endosulfan - Sulphate,X
Endosulphan - Total,X
Endrin,X
Esfenvalerate,X
Ethephon,X
Fenamiphos,X
Fenarimol,X
Fenhexamid,X
Fenitrothion,X
Fenoxycarb,X
Fenpyroximate,X
Fenthion,X
Fenvalerate,X
Fipronil,X
Flubendiamide,X
Fludioxonil,X
Fluometuron,X
Flusilazole,X
Fluvalinate,X
Glufosinate,X
Glyphosate,X
Haloxyfop,X
HCB,X
HCH,X
HCH-alpha,X
HCH-beta,X
HCH-delta,X
HCH-gamma (Lindane),X
Heptachlor,X
Heptachlor epoxide,X
Hexaconazole,X
Hexythiazox,X
Imazalil,X
Imidacloprid,X
Indoxacarb,X
Iprodione,X
Isoxaben,X
Kresoxim methyl,X
lambda Cyhalothrin,X
Linuron,X
Malathion,X
MCPA,X
Metalaxyl,X
Metaldehyde,X
Methabenzthiazuron,X
Methacrifos,X
Methamidophos,X
Methidathion,X
Methiocarb,X
Methomyl,X
Methomyl Oxime,X
Methyl Bromide,X
Methyl Isothiocyanate,X
Metribuzin,X
Mevinphos,X
Monocrotophos,X
Myclobutanil,X
O- phenylphenol,X
Omethoate,X
Oxadixyl,X
Oxyfluorfen,X
Paclobutrazol,X
Paraquat,X
Parathion ethyl,X
Parathion methyl,X
Penconazole,X
Pendimethalin,X
Permethrin,X
Phenothrin,X
Phorate,X
Phosmet,X
Piperonyl butoxide,X
Pirimicarb,X
Pirimiphos methyl,X
Prochloraz,X
Procymidone,X
Profenofos,X
Propachlor,X
Propargite,X
Propiconazole,X
Prosulfocarb,X
Prothiofos,X
Pymetrozine,X
Pyraclostrobin,X
Pyrasulfatole,X
Pyrethrins,X
Pyridaben,X
Pyrimethanil,X
Pyriproxifen,X
Quiazlofop,X
Quintozene,X
Rotenone,X
Simazine,X
Spinetoram,X
Spinosad,X
Spirotetramat,X
tau - Fluvalinate,X
Tebuconazole,X
Tebufenozide,X
Tebufenpyrad,X
Terbufos,X
Tetraconazole,X
Tetradifon,X
Thiabendazole,X
Thiacloprid,X
Thiamethoxam,X
Thiodicarb,X
Tolclophos methyl,X
Triadimefon,X
Triadimenol,X
Trichlorfon,X
Trifloxystrobin,X
Vamidothion,X
Vinclozolin,X
Zeta cypermethrin,X
