Name,AAA_C3,AAA_C6,ALS_C6,Coles,FreshTest_C6,FSANZ_MRL,Indonesia,NMI (2017),PEST06,PEST08,PEST08_C6,Vietnam,Vietnam_(sub)
(E)-Metominostrobin,,,,,,,,,,X,,,
(E)-Pyriminobac-methyl,,,,,,,,,,X,,,
(Z)-Metominostrobin,,,,,,,,,,X,,,
(Z)-Pyriminobac-methyl,,,,,,,,,,X,,,
"1,3-dichloropropene",,,,,,X,,,,,,,
2-Phenylphenol,X,X,X,X,X,X,X,X,X,X,X,,
"2,2-DPA",,,,,,X,,,,,,,
"2,4-D",,,,X,,X,X,,,,,,X
"2,4-DB",,,,,,X,,,,,,,
"2,4-DDT",,,,,,,X,,,,,,
5-Hydroxyimidacloprid,,,,,,,,,,X,X,,
Abamectin,,,X,X,,X,X,,,X,,,X
Acephate,X,X,X,X,X,X,X,X,X,X,X,,
Acequinocyl,,,,,,X,,,,,,,
Acetamiprid,,,,,,X,,X,,X,,,
Acetamiprid-N-desmethyl,,,,,,,,,,X,,,
Acetochlor,,,,,,,,,,X,,,
Acibenzolar acid,,,,,,,,,,X,,,
Acibenzolar-S-methyl,,,,,,X,,,,X,,,
Acifluorfen,,,,,,X,,,,,,,
Acifluorofen,,,,X,,,,,,,,,
Acrinathrin,,,,,,,,,,X,,,
Alachlor,,,,,,,,,,X,,,
Alanycarb,,,,,,,,,,X,,,
Albendazole,,,,,,X,,,,,,,
Albendazole sulphoxide,,,,,,X,,,,,,,
Aldicarb,,X,,X,,X,X,,,X,,,X
Aldicarb (sulphone & sulphoxide),,,,,,,,X,,,,,
Aldicarbsulfoxide,,,,,,,,,,X,,,
Aldoxycarb,,,,,,X,,,,X,,,
Aldrin,X,X,X,X,X,,X,X,,X,X,X,
Aldrin and dieldrin,,,,,,,,,X,,,,
Aliphatic alcohol ethoxylates,,,,,,X,,,,,,,
Allethrin,,,,,,,X,,,,,,
Allidochlor,,,,,,,,,,X,,,
Alpha BHC,,,,X,,,,,,,,,
alpha Cypermethrin,,,,X,,,,,,,,,
alpha Endosulphan,,,,X,,,,,,,,,
Alpha-cypermethrin,,,,,,X,,,,,,,
alpha-Endosulfan,,,,,,,,,,X,X,,
alpha-HCH,,,,,,,,,,X,X,,
Altrenogest,,,,,,X,,,,,,,
Aluminium phosphide,,,,,,X,,,,,,,
Ametoctradin,,,,,,X,,,,X,,,
Ametryn,,,,,,X,,,,X,,,
Aminobenzimidazole-2,,X,,,,,,,,,,,
Aminoethoxyvinylglycine,,,,,,X,,,,,,,
Aminopyralid,,,,,,X,X,,,,,,
Amisulbrom,,,,,,X,,,,,,,
Amitraz,,,,,,X,X,,,,,,
Amitrol,,,,,,,X,,,,,,
Amitrole,,,,,,X,,,,,,,
Amoxycillin,,,,,,X,,,,,,,
AMPA,,,,X,,,,,,,,,
Ampicillin,,,,,,X,,,,,,,
Amprolium,,,,,,X,,,,,,,
Anilofos,,,,,,,,,,X,,,
Anthraquinone,,,,,,,,,,X,,,
Apramycin,,,,,,X,,,,,,,
Asulam,,,,,,X,,,,,,,
Atrazine,,,,X,,X,,X,,X,,,
Avermectin B1,,,,,,X,,,,,,,
Avilamycin,,,,,,X,,,,,,,
Azaconazole,,,,,,X,,,,X,,,
Azamethiphos,,,,,,X,,,,X,,,
Azaperone,,,,,,X,,,,,,,
Azimsulfuron,,,,,,X,,,,,,,
Azinphos ethyl,,,,X,,,,X,,,,,
Azinphos methyl,X,X,,X,X,,,X,,,,,
Azinphos-ethyl,,,X,,,,,,,,,,
Azinphos-methyl,,,X,,,X,X,,X,X,X,,
Azocyclotin,,,,,,,X,,,,,,
Azoxystrobin,,X,X,X,X,X,,X,X,X,X,,
Bacitracin,,,,,,X,,,,,,,
Benalaxyl,X,X,X,X,X,X,X,X,X,X,X,,
Bendiocarb,,,,X,,X,,,,X,,,
Benfluralin,,,,,,X,,,,X,,,
Benodanil,,,,,,,,,,X,,,
Benomyl,,,,,X,X,,X,,,,,
Benoxacor,,,,,,,,,,X,,,
Bensulfuron-methyl,,,,,,X,,,,X,,,
Bensulide,,,,,,X,,,,X,,,
Bentazone,,,,,,X,,,,,,,
Benzalkonium chloride,,,,,,,,,,X,,,
Benzocaine,,,,,,X,,,,,,,
Benzofenap,,,,,,X,,,,,,,
Benzyl G penicillin,,,,,,X,,,,,,,
Benzyladenine,,,,,,X,,X,,,,,
Beta BHC,,,,X,,,,,,,,,
beta Cyfluthrin,,,,X,,,,,,,,,
beta Endosulphan,,,,X,,,,,,,,,
beta-Endosulfan,,,,,,,,,,X,X,,
beta-HCH,,,,,,,,,,X,X,,
Betacyfluthrin,,,,,,X,,,,,,,
BHC,,,,,,,,,X,,,,
BHC - alpha,,,,,X,,,,,,,,
BHC - beta,,,,,X,,,,,,,,
BHC - delta,,,,,X,,,,,,,,
BHC - gamma (Lindane),,,,,X,,,,,,,,
BHC - Total,,,X,X,,,,X,,,,,
BHC (alpha),,,X,,,,,,,,,,
BHC (beta),,,X,,,,,,,,,,
BHC (delta),,,X,,,,,,,,,,
BHC ά,,,,,,,,X,,,,,
BHC β,,,,,,,,X,,,,,
BHC δ,,,,,,,,X,,,,,
BHC-alpha,X,X,,,,,,,,,,,
BHC-beta,X,X,,,,,,,,,,,
BHC-delta,X,X,,,,,,,,,,,
BHC-gamma (Lindane),X,X,X,,,,,,,,,,
Bifenazate,,,,,X,X,,,,,,,
Bifenazate diazene,,,,,X,,,,,,,,
Bifenox,,,,,,,,,,X,,,
Bifenthrin,X,X,X,X,X,X,X,X,X,X,X,,
Bioresmethrin,X,X,X,X,X,X,X,X,X,X,X,,
Biteranol,,,,,X,,,,,,,,
Bitertanol,X,X,X,X,,X,X,X,X,X,X,X,
Bixafen,,,,,,X,,,,,,,
Boscalid,,X,X,X,X,X,X,X,X,X,X,,X
Brodifacoum,,,,,,X,,,,,,,
Bromacil,,,,,,X,,X,,X,,,
Bromobutide,,,,,,,,,,X,,,
Bromophos,,,,,,,,,,X,,,
Bromophos - ethyl,,,X,,,,,,,,,,
Bromophos ethyl,,,,X,,,,X,,,,,
Bromophos-ethyl,,,,,,,,,,X,X,X,
Bromopropylate,,,,,,,X,,,X,,,
Bromoxynil,,,,,,X,,,,,,,
Bupirimate,,,X,,,X,,,,X,X,,
Buprimate,,,,X,,,,,,,,,
Buprofezin,X,X,X,X,X,X,X,X,,X,X,,
Butachlor,,,,,,,,,,X,,,
Butafenacil,,,,,,X,,,,X,,,
Butamifos,,,,,,,,,,X,,,
Butroxydim,,,,,,X,,,,,,,
Cadusafos,,,,X,,X,X,,,X,,,
Cafenstrole,,,,,,,,,,X,,,
Captan,X,X,X,X,X,X,,X,X,X,X,,
