Name,Bran,Cereals,PEST06,PEST08,PEST08_C6,Wheat
(E)-Metominostrobin,,,,X,,
(E)-Pyriminobac-methyl,,,,X,,
(Z)-Metominostrobin,,,,X,,
(Z)-Pyriminobac-methyl,,,,X,,
2-Phenylphenol,,,X,X,X,
"2,2-DPA",,X,,,,
"2,4-D",,X,,,,
"2,4-DB",,X,,,,
5-Hydroxyimidacloprid,,,,X,X,
Abamectin,,,,X,,
Acephate,,,X,X,X,
Acetamiprid,,,,X,,
Acetamiprid-N-desmethyl,,,,X,,
Acetochlor,,,,X,,
Acibenzolar acid,,,,X,,
Acibenzolar-S-methyl,,,,X,,
Acrinathrin,,,,X,,
Alachlor,,,,X,,
Alanycarb,,,,X,,
Aldicarb,,,,X,,
Aldicarbsulfoxide,,,,X,,
Aldoxycarb,,,,X,,X
Aldrin,,,,X,X,
Aldrin and dieldrin,,,X,,,
Allidochlor,,,,X,,
Ametoctradin,,,,X,,
Ametryn,,,,X,,
Aminopyralid,X,X,,,,
Amitrol,,X,,,,
Anilofos,,,,X,,
Anthraquinone,,,,X,,
Atrazine,,,,X,,
Azaconazole,,,,X,,
Azamethiphos,X,X,,X,,
Azinphos-methyl,,,X,X,X,
Azoxystrobin,,,X,X,X,X
Benalaxyl,,,X,X,X,
Bendiocarb,,,,X,,
Benfluralin,,,,X,,
Benodanil,,,,X,,
Benoxacor,,,,X,,
Bensulfuron-methyl,,,,X,,
Bensulide,,,,X,,
Benzalkonium chloride,,,,X,,
BHC,,,X,,,
Bifenox,,,,X,,
Bifenthrin,,X,X,X,X,
Bioresmethrin,,,X,X,X,
Bitertanol,,,X,X,X,
Bixafen,,,,,,X
Boscalid,,,X,X,X,
Brodifacoum,,X,,,,
Bromacil,,,,X,,
Bromobutide,,,,X,,
Bromophos,,,,X,,
Bromophos-ethyl,,,,X,X,
Bromopropylate,,,,X,,
Bromoxynil,,X,,,,
Bupirimate,,,,X,X,
Buprofezin,,,,X,X,
Butachlor,,,,X,,
Butafenacil,,X,,X,,
Butamifos,,,,X,,
Cadusafos,,,,X,,
Cafenstrole,,,,X,,
Captan,,,X,X,X,
Carbaryl,,X,X,X,X,
Carbendazim,,,X,X,X,
Carbetamide,,,,X,,
Carbofuran,,,,X,,X
Carbon disulphide,,X,,,,
Carbonyl sulphide,,X,,,,
Carboxin,,X,,X,,
Carfentrazone-ethyl,,X,,X,,
Carpropamid,,,,X,,
Chlorantraniliprole,,,,X,,
Chlorbufam,,,,X,,
Chlordane-cis,,,,X,X,
Chlorfenapyr,,,,X,X,
Chlorfenvinphos,,,X,X,,X
Chloridazon,,,,X,,
Chlorimuron-ethyl,,,,X,,
Chlormequat,,,,,,X
Chlorobenzilate,,,,X,,
Chloropicrin,,X,,,,
Chlorothalonil,,,X,X,X,
Chlorotoluron,,,,X,,
Chloroxuron,,,,X,,
Chlorpropham,,,,X,,
Chlorpyrifos,,X,X,X,X,
Chlorpyrifos-methyl,X,X,X,X,X,
Chlorsulfuron,,X,,X,,
Chlorthal-dimethyl,,,X,X,X,
Chlorthiophos,,,,X,,
Chlozolinate,,,,X,,
Chromafenozide,,,,X,,
Cinidon-ethyl,,,,X,,
Clethodim,,,,X,,
Clodinafop acid,,,,,,X
Clodinafop-propargyl,,,,X,,X
Clofentezine,,,,X,X,
Clomazone,,,,X,,
Clopyralid,,X,,,,
Cloquintocet-mexyl,,,,X,,X
Clothianidin,,,,X,,
Compound,,,,,,X
Coumaphos,,,,X,,
Coumaphosoxon,,,,X,,
Cyanazine,,X,,X,,
Cyanophos,,,,X,,
Cyazofamid,,,,X,,
Cyclanilide,,,,X,,
Cycloate,,,,X,,
Cyclosulfamuron,,,,X,,
Cyflufenamid,,,,X,,
Cyfluthrin,X,X,X,X,X,
Cyhalofop-butyl,,,,X,,
Cyhalothrin,,,X,X,X,X
Cymoxanil,,,,X,,
Cypermethrin,,,X,X,X,X
Cyproconazole,,,X,X,X,X
Cyprodinil,,,X,X,X,
Cyromazine,,,,X,,
Daimuron,,,,X,,
"DDD (o,p)",,,,X,X,
"DDD (p,p)",,,,X,X,
"DDE (o,p)",,,,X,X,
"DDE (p,p)",,,,X,X,
DDT,,,X,,,
"DDT (o,p)",,,,X,X,
"DDT (p,p)",,,,X,X,
Deltamethrin,X,X,X,X,X,
Demeton-S-methyl,,,,X,X,
Demeton-S-methylsulfoxide,,,,X,,
Desmedipham,,,,X,,
Diallate,,,,X,,
Diazinon,,X,X,X,X,
Dicamba,,X,,,,
Dichlobenil,,,,X,,
Dichlofenthion,,,,X,,
Dichlofluanid,,,,X,X,
Dichlorvos,X,X,X,X,X,
Diclobutrazol,,,,X,,
Diclocymet,,,,X,,
Diclofop-methyl,,X,,X,,
Dicloran,,,X,X,X,
Diclosulam,,,,X,,
Dicofol,,,X,X,X,
Dicrotophos,,,,X,,
Dicyclanil,,,,X,,
Didecyldimethylammonium chloride,,,,X,,
Dieldrin,,,,X,X,
Diethofencarb,,,,X,,
Difenoconazole,,X,X,X,X,
Diflubenzuron,X,X,,X,,
Diflufenican,,,,X,,X
Dimepiperate,,,,X,,
Dimethenamid,,,,X,,
Dimethoate,X,X,X,X,X,
Dimethomorph,,,X,X,X,
Dimethylvinphos,,,,X,,
Dioxabenzofos,,,,X,,
Dioxathion,,,,X,,
Diphenamid,,,,X,,
Diphenylamine,,,X,X,X,
Diquat,,,,,,X
Disulfoton,,,X,X,,
Dithiocarbamates,,X,,,,
Dithiopyr,,,,X,,
Diuron,,X,X,X,X,
Dodine,,,,X,,
Edifenphos,,,,X,,
Emamectinbenzoate,,,,X,,
Endosulfan,,,X,,,
Endosulfan sulphate,,,,X,X,
Endosulphan-alpha,,,,X,X,
Endosulphan-beta,,,,X,X,
Endrin,,,X,X,X,
Endrin ketone,,,,X,X,
EPN,,,,X,,
Epoxiconazole,X,X,,X,,
EPTC,,X,,X,,
Esprocarb,,,,X,,
Ethalfluralin,,,,X,,
Ethametsulfuron-methyl,,,,X,,
Ethephon,,,,,,X
Ethiofencarb,,,,X,,
Ethion,,,,X,,
Ethiprole,,,,X,,
Ethofumesate,,,,X,,
Ethoprophos,,X,X,X,,
Ethoxyquin,,,,X,,
Ethoxysulfuron,,,,X,,
Ethychlozate,,,,X,,
Ethylene dichloride (EDC),,X,,,,
Etobenzanid,,,,X,,
Etoxazole,,,,X,X,
Etridiazole,,,,X,,
Etrimfos,,,,X,,
Famoxadone,,,,X,,
Famphur,,,,X,,
Fenamidone,,,,X,,
Fenamiphos,,,X,X,X,
Fenarimol,,,X,X,X,
Fenbuconazole,,,,X,,X
Fenchlorphos,,,,X,,
Fenhexamid,,,X,X,X,
Fenitrothion,X,X,X,X,X,
Fenobucarb,,,,X,,
